,sphere_detailed,short_name,Column,ide,index
0,Державна служба України з надзвичайних ситуацій,ДСНС,424295,89573,4.74
7,Державна служби якості освіти,ДСЯО,1073,308,3.48
1,Державна служба України з питань праці,Держпраці,127373,41728,3.05
15,Державна азовська морська екологічна інспекція,ДАМЕІ,34,13,2.62
2,Державна екологічна інспекція,Держекоінспекція,22174,18412,1.2
5,Державна служба України з лікарських засобів та контролю за наркотиками,Держлікслужба,3087,3768,0.82
9,Державна служба геології та надр України,Держгеонадра,770,1065,0.72
18,Міністерство освіти і науки України,МОН,16,24,0.67
4,Пенсійний фонд України,ПФУ,12061,20670,0.58
17,Національна комісія з цінних паперів та фондового ринку,НКЦПФР,20,40,0.5
13,Міністерство внутрішніх справ України,МВС,75,163,0.46
12,Державна інспекція ядерного регулювання України,Держатомрегулювання,80,232,0.34
3,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Держпродспоживслужба,16532,58299,0.28
16,Міністерство захисту довкілля та природних ресурсів України ,Міндовкілля ,24,86,0.28
19,Відділ з питань праці міської ради міста кропивницького кіровоградської області,відділ з питань праці міської ради міста кропивницького кіровоградської області,14,56,0.25
6,"Державна служба України з питань геодезії, картографії та кадастру",Держгеокадастр,1555,6710,0.23
8,Управління державного архітектурно-будівельного контролю ОМС,УДБК ОМС,888,3904,0.23
10,Відділи праці ОМС,ВП ОМС,164,1107,0.15
11,Державна служба України з безпеки на транспорті,Укртрансбезпека,108,874,0.12
14,Державне агентство рибного господарства,Держрибагенство,36,400,0.09
