name,code,ide,sphere
"товариство з обмеженою відповідальністю ""бердичів""",408,408,408
"акціонерне товариство ""українська залізниця""",399,399,399
"приватне акціонерне товариство ""дтек павлоградвугілля""",367,367,367
"тов ""тандем""",209,209,209
підприємство облспоживспілки бердичівський міський кооперативний ринок,205,205,205
"новоград-волинський кооперативний ринок ""урожай""",199,199,199
"пск ""овруцький кооперативний  ринок""",198,198,198
черняхівський кооперативний ринок,197,197,197
чуднівський кооперативний ринок,191,191,191
"державне підприємство ""львіввугілля""",190,190,190
"товариство з обмеженою відповідальністю ""північний ринок""",186,186,186
"кп ""київтеплоенерго",163,163,163
олевський коперативний ринок райспоживспілки,144,144,144
"державне підприємство ""первомайськвугілля""",136,136,136
"публічне акціонерне товариство ""лисичанськвугілля""",128,128,128
"публічне акціонерне товариство ""арселорміттал кривий ріг""",127,127,127
"акціонерне товариство ""укрпошта""",123,123,123
"тзов ""любомль-ринок""",117,117,117
"пкрсс ""кооперативний ринок"",",115,115,115
"національний технічний університет україни ""київський політехнічний інститут імені ігоря сікорського""",113,113,113
"публічне акціонерне товариство ""криворізький залізорудний комбінат""",111,111,111
"тов ""ринок"" ринок ""хмільники""",111,111,111
"по ""малинський кооперативний ринок""",109,109,109
"товариство з обмеженою відповідальністю ""комфі трейд""",108,108,108
"товариство з обмеженою відповідальністю "" ринок""",107,107,107
"ринок ""київський"" тов ""ринок""",105,105,105
попільнянський кооперативний ринок,102,102,102
"товариство з обмеженою відповідальністю ""північна торгова компанія лтд""",98,98,98
ружинський кооперативний ринок,96,96,96
національний університет біоресурсів і природокористування україни,94,94,94
"по ""житомирський кооперативний ринок"" ринок ""житній""",93,93,93
"товариство з обмеженою відповідальністю ""володимир-волинський ринок""",87,87,87
"споживче товариство ""консолідоване нове""",75,75,75
"підприємство ""кооперативний ринок любарської районної спілки споживчих товариств""",68,68,68
"товариство з обмеженою відповідальністю ""атб-маркет""",68,68,68
хмельницький обласний центр зайнятості,66,66,66
"товариство з обмеженою відповідальністю ""сав-дістрибьюшн""",65,65,65
"публічне акціонерне товариство ""укртелеком""",65,65,65
"товариство з обмеженою відповідальністю торгівельна база ""будматеріали""",65,65,65
володарсько- волинський кооперативний ринок,62,62,62
"підприємство споживчої кооперації ""ринок брусилівського райспоживтовариства""",62,62,62
"акціонерне товариство ""укргазвидобування""",61,61,61
"приватне підприємство ""західний буг - 2 """,60,60,60
"тов ""нова пошта""",60,60,60
"товариство з обмеженою відповідальністю ""сітісервіс-кр""",60,60,60
"кп ""коломийський центральний продовольчий ринок""",59,59,59
"сільськогосподарське товариство з обмеженою відповідальністю ""нива """,59,59,59
"товариство з обмеженою відповідальністю """"ринок плюс""",59,59,59
"товариство з обмеженою відповідальністю ""нова пошта""",58,58,58
олевський кооперативний ринок райспоживспілки,58,58,58
"споживче товариство ""нововолинський ринок""",57,57,57
"товариство з обмеженою відповідальністю ""ковельський госпрозрахунковий ринок""",57,57,57
"приватне підприємство ""успіх""",56,56,56
"тов ""розетка. уа""",56,56,56
"дочірнє підприємство ""центральний ринок міста сєвєродонецька"" луганської обласної спілки споживчих товариств",56,56,56
"пр  ""баранівський ринок""",55,55,55
"публічне акціонерне товариство ""укpнaфта""",54,54,54
"товариство з обмеженою відповідальністю ""епіцентр к""",54,54,54
білоцерківський національний аграрний університет,53,53,53
"товариство з обмеженою відповідальністю ""алло""",53,53,53
"товариство з обмеженою відповідальністю ""дтек добропіллявугілля""",53,53,53
"товариство з обмеженою відповідальністю ""троянда """,52,52,52
"товариство з обмеженою відповідальністю ""краматорський ринок""",52,52,52
київський національний університет імені тараса шевченка,52,52,52
"дочірнє підприємство ""лисичанський ринок"" луганської обласної спілки споживчих товариств",51,51,51
"дочірнє підприємство ""рубіжанський ринок"" луганської обласної спілки споживчих товариств",51,51,51
"товариство з обмеженою відповідальністю ""нововолинський госпрозрахунковий ринок""",50,50,50
"товариство з обмеженою відповідальністю ""вест петрол маркет""",50,50,50
"селянське (фермерське) господарство ""мрія""",50,50,50
"товариство з обмеженою відповідальністю ""комфорт""",50,50,50
"сільськогосподарське товариство з обмеженою відповідальністю "" україна """,50,50,50
національний авіаційний університет,50,50,50
"тов ""промінь-с""",49,49,49
"державне підприємство ""національна атомна енергогенеруюча компанія ""енергоатом""",48,48,48
"товариство з обмеженою відповідальністю ""прогрес .""",47,47,47
"товариство з обмеженою відповідальністю ""дієса""",47,47,47
"тов ""сав-дістрибьюшн""",47,47,47
"приватне підприємство ""сєвєродонецький ринок злагода""",47,47,47
"підприємство ""кооперативний ринок"" кіровоградської обласної спілки споживчих товариств (облспоживспілки)",46,46,46
"кп ""ринок""",46,46,46
"товариство з обмеженою відповідальністю ""бучачагрохлібпром""",45,45,45
"сільськогосподарське товариство з обмеженою відповідальністю "" надія """,45,45,45
"товариство з обмеженою відповідальністю ""сільпо-фуд""",44,44,44
"пат ""укртелеком""",44,44,44
"мале приватне підприємство фірма ""ерідон""",44,44,44
"приватне акціонерне товариство ""суха балка""",44,44,44
"фермерське господарство "" надія """,44,44,44
департамент освіти та науки івано-франківської міської ради,43,43,43
"товариство з обмеженою відповідальністю ""ринок міста старобільськ""",43,43,43
"приватне акціонерне товариство ""металургійний комбінат ""азовсталь""",41,41,41
миколаївський обласний центр зайнятості,41,41,41
"державне підприємство ""східний гірничо-збагачувальний комбінат""",40,40,40
"підприємство з іноземними інвестиціями ""амік україна""",40,40,40
"акціонерне товариство ""лисичанськвугілля""",40,40,40
"товариство з обмеженою відповідальністю ""ринок універсальний""",40,40,40
"приватне підприємство ""кіровоград-буд-дизайн""",40,40,40
регіональна філія «південно-західна залізниця» ат «українська залізниця»,38,38,38
"сільськогосподарське товариство з обмеженою відповідальністю "" промінь """,38,38,38
"товариство з обмеженою відповідальністю "" хлібодар""",38,38,38
"фермерське господарство "" вікторія """,38,38,38
"сільськогосподарське товариство з обмеженою відповідальністю "" лан """,38,38,38
"""сватівський ринок""",37,37,37
"дочірнє підприємство ""кремінський ринок"" луганської обласної спілки споживчих товариств",37,37,37
"підприємство облспоживспілки ""коростенський кооперативний ринок""",37,37,37
"сільськогосподарське товариство з обмеженою відповідальністю "" зоря """,37,37,37
"приватне підприємство ""бізон -тех 2006""",37,37,37
"прсс ""кооперативний ринок""",37,37,37
"агропродовольчий ринок ""завокзальний ринок"" волинської обласної спілки споживчих товариств",37,37,37
"товариство з обмеженою відповідальністю ""господар""",36,36,36
"ринок ""мрія""",36,36,36
чернігівський обласний центр зайнятості,36,36,36
"підприємство ""романівський кооперативний ринок"" романівської  райспоживспілки",36,36,36
агропродовольчий ринок рожищенської районної спілки споживчих товариств,35,35,35
"товариство з обмеженою відповідальністю ""шофар""",35,35,35
"відділ культури, молоді та спорту мукачівської районної державної адміністрації",35,35,35
"міське підприємство ""сватівський міський ринок""",35,35,35
"товариство з обмеженою відповідальністю ""колос""",35,35,35
"товариство з обмеженою відповідальністю ""радехівська пмк-188""",35,35,35
"товариство з додатковою відповідальністю ""рівнефармація""",35,35,35
"приватне акціонерне товариство ""украгро нпк""",35,35,35
"агропродовольчий ринок  пп ""торговий альянс"" ринок ""північний""",34,34,34
"кп ""іршанське комунальне підприємство""",34,34,34
"підприємство райспоживспілки ""ринок""",34,34,34
"комунальне підприємство ""бердянськводоканал"" бердянської міської ради",34,34,34
народний дім,34,34,34
"ст ""автомобіліст""",34,34,34
"комунальне підприємство обухівської міської ради ""обухівський ринок""",34,34,34
"товариство з обмеженою відповідальністю ""запорізький титано-магнієвий комбінат""",33,33,33
"ринок ""городоцька райспоживспілка""",33,33,33
"тзов ""ринок - сервіс""",33,33,33
"селянське (фермерське) господарство  ""лан""",33,33,33
київський національний торговельно-економічний університет,33,33,33
