name,code,ide,sphere
підприємство споживчої кооперації ринок надвірнянського районного споживчого товариства,32,32,32
"сільськогосподарське товариство з обмеженою відповідальністю "" обрій """,32,32,32
"дп  "" ринок міста попасна ""  луганської обласної спілки споживчих товариств",32,32,32
київський міський центр зайнятості,32,32,32
"селянське ( фермерське ) господарство ""промінь""",31,31,31
відділ культури олевської міської ради,31,31,31
"акціонерне товариство ""укртрансгаз""",31,31,31
"тов ""євро-реконструкція""",31,31,31
"сільськогосподарське товариство з обмеженою відповідальністю "" колос """,31,31,31
"товариство з обмеженою відповідальністю ""україна""",31,31,31
"приватне підприємство приватне сільськогосподарське підприємство ""дружба""",31,31,31
"товариство з обмеженою відповідальністю "" нива """,31,31,31
"фермерське господарство "" нива""",31,31,31
відділ культури та туризму  чемеровецької селищної ради,31,31,31
"приватне акціонерне товариство ""галнафтохім",31,31,31
"товариство з обмеженою відповідальністю ""фортуна""",30,30,30
"сільськогосподарське товариство з обмеженою відповідальністю "" перемога """,30,30,30
"товариство з обмеженою відповідальністю "" маяк """,30,30,30
"дочірнє підприємство ""кремінське комгосподарство"" комунального підприємства ""кремінна-комунсервіс""",30,30,30
"селянське (фермерське) господарство "" колос """,30,30,30
"сільськогосподарське товариство з обмеженою відповідальністю "" світанок """,29,29,29
"підприємство споживчої кооперації ""кооперативний ринок"" андрушівської райспоживспілки",29,29,29
"комунальне підприємство ""щастинський продторг""",29,29,29
"державне спеціалізоване підприємство ""центральне підприємство з поводження з радіоактивними відходами""",29,29,29
"відділ культури, молоді та спорту тарутинської районної державної адміністрації одеської області",29,29,29
"пп""торговиця",29,29,29
"приватне сільськогосподарське підприємство ""україна """,29,29,29
"ринок ""привокзальний"" приватного багатопрофільного підприємства ""захар""",29,29,29
"тов ""нрп""",29,29,29
"сільськогосподарське товариство з обмеженою відповідальністю "" дружба""",29,29,29
"товариство з обмеженою відповідальністю сільськогосподарське підприємство ""нібулон""",28,28,28
"тов ""комфі трейд """,28,28,28
"державне підприємство ""адміністрація морських портів україни""",28,28,28
"товариство з обмеженою відповідальністю "" світанок """,28,28,28
"комунальне некомерційне підприємство ""іршавська районна лікарня"" іршавської районної ради закарпатської області",28,28,28
"тов ""епіцентр к""",28,28,28
"комунальне підприємство ""компанія ""вода донбасу""",28,28,28
"агропродовольчий ринок ""локачинське районне споживче товариство """,28,28,28
"агропродовольчий ринок ""лучеськ"" пп ""торговий альянс""",28,28,28
"селянське (фермерське) господарство "" надія """,28,28,28
ратнівське споживче товариство ( ратнівське ст),27,27,27
"селянське (фермерське ) господарство "" вікторія """,27,27,27
"комунальне підприємство ""червоненський селищний ринок""",27,27,27
"комунальне підприємство ""харківводоканал""",27,27,27
"товариство з обмеженою відповідальністю ""торговий центр ""айдар""",27,27,27
"сільськогосподарське товариство з обмеженою відповідальністю "" злагода """,27,27,27
"приватне акціонерне товариство ""шахтоуправління ""покровське""",27,27,27
"товариство з обмеженою відповідальністю ""альянс""",27,27,27
"товариство з обмеженою відповідальністю  ""лтз""",27,27,27
"дочірнє підприємство ""кооперативний ринок"" червоноармійського районного споживчого товариства",27,27,27
"акціонерне товариство ""дтек західенерго""",27,27,27
"товариство з обмеженою відповідальністю ""відродження""",27,27,27
"сільськогосподарське товариство з обмеженою відповідальністю "" маяк """,27,27,27
"комунальне підприємство ""карпати""",27,27,27
"товариство з обмеженою відповідальністю ""конверс лінкс""",27,27,27
"товариство з обмеженою відповідальністю  ""надія""",27,27,27
"товариство з обмеженою відповідальністю ""ін-тайм""",27,27,27
"товариство з обмеженою відповідальністю  "" дружба """,26,26,26
"товариство з обмеженою відповідальністю ""тиара""",26,26,26
"виробничий кооператив сільськогосподарський виробничий кооператив ""дружба""",26,26,26
"тск ""пасаж""",26,26,26
"комунальне підприємство ""добробут"" корецької міської ради""",26,26,26
"селянське (фермерське) господарство ""світанок""",26,26,26
"товариство з обмеженою відповідальністю ""перемога""",26,26,26
"товариство з обмеженою відповідальністю ""євро смарт пауер""",26,26,26
"відділ культури, національностей, релігій, молоді та спорту іванківської районної державної адміністрації",26,26,26
київський національний університет будівництва і архітектури,26,26,26
херсонський обласний центр зайнятості,26,26,26
"фермерське господарство "" колос """,26,26,26
"фермерське господарство "" світанок """,26,26,26
відділ розвитку культури та туризму куяльницької сільської ради подільського району одеської області,26,26,26
"кп ""немирівський ринок"" немирівської рсс",25,25,25
судилківська сільська рада,25,25,25
"агропродовольчий ринок пп ""виробничо комерційна фірма ""домінанта"" тк ""пасаж""",25,25,25
"підприємство споживчої кооперації ""підприємство райспоживспілки ""кооперативний ринок"" смт ємільчине""",25,25,25
"підриємство ""романівський кооперативний ринок"" романівської райспоживспілки",25,25,25
"агропродовольчий ринок ""центральний ринок"" волинської обласної спілки споживчих товариств",25,25,25
"акціонерне товариство ""державна продовольчо-зернова корпорація україни""",25,25,25
"товариство з обмеженою відповідальністю ""рівненський ринок""",25,25,25
"тов ""дієса""",25,25,25
"тов ""тпф авс-цитрус""",25,25,25
"споживче товариство ""лубенський ринок""",25,25,25
районний відділ культури переяслав-хмельницької райдержадміністрації,25,25,25
"національний університет ""львівська політехніка""",25,25,25
"відділ культури, молоді та спорту ямпільської районної державної адміністрації вінницької області",25,25,25
"сільськогосподарське товариство з обмеженою відповідальністю ""прогрес""",25,25,25
"тов ""ринок""",25,25,25
ст « центральниий ринок» ( критий ринок),24,24,24
"акціонерне товариство ""марганецький гірничо-збагачувальний комбінат""",24,24,24
"тов ""бізнес-про""",24,24,24
"товариство з обмеженою відповідальністю ""еко""",24,24,24
яготинський ринок київської регіональної спілки споживчої кооперації,24,24,24
"комунальне некомерційне підприємство харківської обласної ради ""центр екстреної медичної допомоги та медицини катастроф""",24,24,24
"товариство з обмеженою відповідальністю ""інтергеоком""",24,24,24
"державне підприємство ""іванківське лісове господарство""",24,24,24
"приватне акціонерне товариство ""вищий навчальний заклад ""міжрегіональна академія управління персоналом""",24,24,24
"державне підприємство ""жовтневе лісове господарство""",24,24,24
"товариство з обмеженою відповідальністю ""бадьорість""",24,24,24
"товариство з обмеженою відповідальністю ""торговий дім ""міст експрес""",24,24,24
"публічне акціонерне товариство ""мотор січ""",23,23,23
"комунальне підприємство ""харківські теплові мережі""",23,23,23
"приватне сільськогосподарське підприємство "" маяк""",23,23,23
"споживче товариство ""привокзальне""",23,23,23
"тк ""вишенька""",23,23,23
"товариство з обмеженою відповідальністю ""украгроком""",23,23,23
"споживче товариство ""міськкоопринокторг""",23,23,23
снятинське споживче товариство,23,23,23
"""селянське (фермерське) господарство ""відродження""",23,23,23
"державне комунальне підприємство ринок ""лазурний""",23,23,23
"приватне підприємство ""фенікс!""",23,23,23
"виробничий сільськогосподарський кооператив ""зоря""",23,23,23
"дочірне підприємство ""миропільський ринок""",23,23,23
тячівське управління  соціального захисту населення тячівської районної державної адміністрації,23,23,23
"товариство з обмеженою відповідальністю "" зоря """,23,23,23
"тов ""алло""",23,23,23
"комунальне підприємство ""милосердя""",22,22,22
"товариство з обмеженою відповідальністю ""привокзальний ринок""",22,22,22
"державна установа ""центр охорони здоров'я державної кримінально-виконавчої служби україни""",22,22,22
"товариство з обмеженою відповідальністю ""глуско рітейл""",22,22,22
"ринок ""урожай""",22,22,22
"товариство з обмеженою відповідальністю ""подільська промислово - торговельна корпорація ""подолпромторг""",22,22,22
"селянське (фермерське) господарство  ""зоря""",22,22,22
"тов ""укс колосок""",22,22,22
"споживче товариство ""калинівський ринок""",22,22,22
"державне підприємство ""укрхімтрансаміак""",22,22,22
"комунальне некомерційне підприємство ""одеський обласний центр екстреної медичної допомоги і медицини катастроф"" одеської обласної ради""",22,22,22
"товариство з обмеженою відповідальністю ""торгівельний комплекс ""ринок західний""",22,22,22
"комунальне підприємство ""ринково-побутові послуги"" міської ради міста кропивницького""",22,22,22
"товариство з обмеженою відповідальністю ""альваід""",22,22,22
управління соціального захисту населення ківерцівської районної державної адміністрації,22,22,22
"приватне акціонерне товариство ""сільськогосподарська виробнича фірма ""агротон""",22,22,22
києво-святошинський ринок київської обспоживспілки,22,22,22
"комунальне підприємство  ""кривбасводоканал""",22,22,22
"акціонерне товариство ""державний ощадний банк україни""",22,22,22
департамент праці та соціального захисту населення миколаївської міської ради,22,22,22
"товариство з обмеженою відповідальністю ""місто для людей запоріжжя""",22,22,22
"приватне сільськогосподарське підприємство ""обрій """,22,22,22
"товариство з обмеженою відповідальністю ""домініон-к""",22,22,22
"пп ""енергосервіс-плюс""",21,21,21
східноєвропейський національний університет імені лесі українки,21,21,21
"тов ""торг""",21,21,21
"комунальне підприємство ""марківський ринок""",21,21,21
"""заболотівський комунальний ринок""",21,21,21
"державне підприємство ""конярство україни""",21,21,21
"акціонерне товариство ""запорізький завод феросплавів""",21,21,21
"ринок ""центральний""",21,21,21
"товариство з обмеженою відповідальністю ""альянс холдинг""",21,21,21
ат «українська залізниця» регіональна філія «одеська залізниця» виробничий підрозділ «моторвагонне депо христинівка»,21,21,21
"національний технічний університет ""харківський політехнічний інститут""",21,21,21
"дочірнє підприємство ""чернігівський облавтодор"" відкритого акціонерного товариства ""державна акціонерна компанія ""автомобільні дороги україни""",21,21,21
"тк ""ринок привокзальний,2""",21,21,21
"приватне підприємство ""моноліт""",21,21,21
"товариство з обмеженою відповідальністю торгівельна компанія ""полісся - продукт""",21,21,21
баранівська міська рада,21,21,21
"ринок товариства з обмеженою відповідальністю ""айсберг""",21,21,21
"комунальне підприємство "" водоканал """,21,21,21
"товариство з обмеженою відповідальністю ""інвестбудгаличина""",21,21,21
"світловодське міське комунальне підприємство ""комбінат комунальних послуг""",21,21,21
"товариство з обмеженою відповідальністю  "" промінь """,21,21,21
харківський національний технічний університет сільського господарства імені петра василенка,21,21,21
"товариство з обмеженою відповідальністю ""торговий дім ""ар""",21,21,21
"приватне акціонерне товариство ""судноплавна компанія ""укррічфлот""",21,21,21
"державне підприємство ""димерське лісове господарство""",20,20,20
"державне підприємство ""ізюмське лісове господарство""",20,20,20
"акціонерне товариство ""оператор газорозподільної системи ""івано-франківськгаз""",20,20,20
"приватне мале багатопрофільне підприємство ""грюн-гол""",20,20,20
"селянське ( фермерське ) господарство "" обрій """,20,20,20
"товариство з обмеженою відповідальністю ""фора""",20,20,20
"фермерське господарство ""лан""",20,20,20
"комунальне підприємство ""київпастранс""",20,20,20
"комунальний заклад бориспільської районної ради київської області ""бориспільський районний будинок культури""",20,20,20
"акціонерне товариство ""чернігівобленерго""",20,20,20
"державне підприємство ""брустурянське лісомисливське господарство""",20,20,20
"товариство з обмеженою відповідальністю ""метро кеш енд кері україна""",20,20,20
"селянське ( фермерське ) господарство "" еліта """,20,20,20
"підприємство споживчої кооперації ""ставищенський ринок київської облспоживспілки""",20,20,20
"тов ""пмрсс ""центральний ринок""",20,20,20
"товариство з обмеженою відповідальністю ""борщівський ринок""",20,20,20
"акціонерне товариство ""оператор газорозподільної системи ""миколаївгаз""",20,20,20
"державне підприємство ""клавдієвське лісове господарство""",20,20,20
"комунальне некомерційне підприємство""обласний центр екстреної медичної допомоги та медицини катастроф черкаської обласної ради""",20,20,20
"тов ""лікос""",20,20,20
колективне підприємство  болехівський ринок,20,20,20
"акціонерне товариство ""облтеплокомуненерго""",19,19,19
"акціонерне товариство ""оператор газорозподільної системи ""чернігівгаз""",19,19,19
"іллінецька районна спілка споживчих товариств ""райспоживспілка""",19,19,19
"сільськогосподарське товариство з обмеженою відповідальністю ""агрофірма ""нива""",19,19,19
"приватне акціонерне товариство ""київобленерго""",19,19,19
"""соколівська сільська рада""",19,19,19
управління освіти виконавчого комітету рівненської міської ради,19,19,19
"товариство з обмеженою відповідальністю  ""будівельник""",19,19,19
"селянське (фермерське) господарство ""україна""",19,19,19
чортківський госпрозрахунковий ринок чортківського районногоспоживчого товариства,19,19,19
"товариство з обмеженою відповідальністю "" мрія """,19,19,19
"товариство з обмеженою відповідальністю ""фірма авм ""віва ун""",19,19,19
"приватне акціонерне товариство ""маріупольський металургійний комбінат  імені ілліча""",19,19,19
сумський державний університет,19,19,19
"підприємство ""жовківський  ринок"" жовківської райспоживспілки (ринок)",19,19,19
"державне підприємство ""ніжинське лісове господарство""",19,19,19
"товариство з обмеженою відповідальністю ""оберіг бц""",19,19,19
"фермерське господарство ""мрія""",19,19,19
управління  соціального захисту населення тлумацької районної державної адміністрації,19,19,19
підприємство споживчої кооперації богуславський ринок київської регіональної спілки споживчої кооперації,19,19,19
"""міловське житлово-комунальне підприємство""",19,19,19
підприємство споживчої кооперації кагарлицький ринок київської регіональної спілки споживчої кооперації,19,19,19
"селянське ( фермерське )господарство ""дружба""",19,19,19
управління  соціального захисту населення врадіївської районної державної адміністрації миколаївської області,19,19,19
"тов  ваф ""нба""",19,19,19
"ат ""укрпошта""",19,19,19
"селянське (фермерське ) господарство ""урожай""",19,19,19
"пп ""виробничо-комерційна фірма ""домінанта""",19,19,19
миколаївський національний аграрний університет,19,19,19
"товариство з обмеженою відповідальністю ""ринок сільськогосподарської продукції ""столичний""",18,18,18
голованівський ліцей ім. т.г. шевченка голованівської районної  ради,18,18,18
"тов ""джоін ап!""",18,18,18
"комунальне підприємство ""новомиргородський міський ринок""",18,18,18
"приватне сільськогосподарське підприємство "" колос """,18,18,18
"товариство з обмеженою відповідальністю ""вектор 2002""",18,18,18
"тзов мп ""ринок""",18,18,18
"державне підприємство ""добрянське лісове господарство""",18,18,18
"відділ культури, молоді та спорту богуславської районної державної адміністрації",18,18,18
"товариство з обмеженою відповідальністю ""ринок - гостомель""",18,18,18
"державне підприємство ""київське лісове господарство""",18,18,18
управління  соціального захисту населення ратнівської районної державної адміністрації,18,18,18
"відділ культури, молоді та спорту кагарлицької районної державної адміністрації",18,18,18
"комунальне підприємство ""олександрійський центральний ринок""",18,18,18
"сільськогосподарське товариство з обмеженою відповідальністю ""мрія """,18,18,18
узинський ринок київської регіональної спілки споживчої кооперації,18,18,18
семенівська сільська рада,18,18,18
"приватне підприємство ""торгово-промисловий комплекс""",18,18,18
"селянське (фермерське) господарство ""перлина""",18,18,18
криворізький національний університет,18,18,18
"обласне комунальне виробниче підприємство ""дніпро-кіровоград""",18,18,18
"приватне акціонерне товариство ""сєвєродонецьке об'єднання азот""",18,18,18
"пбп ""захар"" ринок ""привокзальний""",18,18,18
сумський національний аграрний університет,18,18,18
"товариство з обмеженою відповідальністю ""п'ятидні""",18,18,18
"сільськогосподарське товариство з обмеженою відповідальністю ""відродження """,18,18,18
"пп ""торговий центр-д""",18,18,18
"акціонерне товариство ""житомиробленерго""",18,18,18
"товариство з обмеженою відповідальністю ""малікс - мєд""",18,18,18
"пп рсст ""пирятинський ринок""",18,18,18
"товариство з обмеженою відповідальністю ""-агро сервіс-""",18,18,18
"фермерське господарство ""степ +""",18,18,18
"товариство з обмеженою відповідальністю ""технополіс-1""",18,18,18
"селянське (фермерське) господарство ""світлана""",18,18,18
"підприємство ""фастівський ринок"" київської регіональної спілки споживчої кооперації",18,18,18
"державне підприємство спиртової та лікеро-горілчаної промисловості ""укрспирт""",18,18,18
козелецька селищна рада,18,18,18
"товариство з обмеженою відповідальністю ""великокісницьке""",18,18,18
ічнянська міська рада,18,18,18
"фермерське господарство  ""промінь""",18,18,18
"товариство з обмеженою відповідальністю ""оператор газотранспортної системи україни""",17,17,17
"сектор культури, молоді та спорту районної державної адміністрації",17,17,17
"державне підприємство ""ківерцівське лісове господарство""",17,17,17
"товариство з обмеженою відповідальністю ""сіверь""",17,17,17
відділ культури радомишльської міської ради житомирської області,17,17,17
"тов ""концерт юа""",17,17,17
"акціонерне товариство ""оператор газорозподільної системи ""криворіжгаз""",17,17,17
"сільськогосподарське товариство з обмеженою відповідальністю ""придніпровський край""",17,17,17
"селянське (фермерське) господарство ""пролісок""",17,17,17
"сільськогосподарський виробничий кооператив ""маяк""",17,17,17
"державне підприємство ""богуславське лісове господарство""",17,17,17
"державне підприємство ""білоцерківське лісове господарство""",17,17,17
"публічне акціонерне товариство ""запорізький металургійний комбінат ""запоріжсталь""",17,17,17
управління соціального захисту населення любешівської районної державної адміністрації,17,17,17
"селянське ( фермерське ) господарство "" нива """,17,17,17
"товариство з обмеженою відповідальністю ""гіппо""",17,17,17
"державне підприємство ""великобичківське лісомисливське господарство""",17,17,17
"відділ культури, молоді та спорту радехівської районної державної адміністрації львівської  області",17,17,17
"приватне акціонерне товариство ""електрометалургійний завод ""дніпроспецсталь"" ім. а.м. кузьміна""",17,17,17
харківський національний університет імені в.н. каразіна,17,17,17
"приватне акціонерне товариство ""нова лінія""",17,17,17
"товариство з обмеженою відповідальністю виробничо-будівельна фірма ""монолітбуд""",17,17,17
"комунальне підприємство кагарлицької міської ради ""кагарлицький міський ринок""",17,17,17
"товариство з обмеженою відповідальністю ""вересень плюс""",17,17,17
"приватне сільськогосподарське підприємство "" мир """,17,17,17
"товариство з обмеженою відповідальністю ""житлосервіс-кр""",17,17,17
"товариство з обмеженою відповідальністю "" деметра""",17,17,17
"товариство з обмеженою відповідальністю "" лан """,17,17,17
"споживче товариство ""господар 1""",17,17,17
"сільськогосподарське товариство з обмеженою відповідальністю "" авангард""",17,17,17
одеська національна академія харчових технологій,17,17,17
"підприємство споживчої кооперації ""сквирський ринок"" київської регіональної спілки споживчої кооперації",17,17,17
"підприємство споживчої кооперації ""таращанський ринок"" київської регіональної спілки споживчої кооперації",17,17,17
управління праці та соціального захисту населення городенківської районної державної адміністрації,17,17,17
"акціонерне товариство ""дтек дніпроенерго""",17,17,17
"товариство з обмеженою відповідальністю ""слав-сервіс""  ""слов'янський центральний ринок""",17,17,17
ринок козівського районного споживчого товариства,17,17,17
"""рокитнянський ринок"" київської регіональної спілки споживчої кооперації",17,17,17
чернівецький обласний центр зайнятості,17,17,17
"міське комунальне підприємство ""миколаївводоканал""",17,17,17
"державне спеціалізоване підприємство ""чорнобильська аес""",17,17,17
"товариство з обмеженою відповідальністю "" обрій """,17,17,17
"товариство з обмеженою відповідальністю ""агрохімсервіс""",17,17,17
управління праці та соціального захисту населення  хмельницької міської ради,17,17,17
"фермерське господарство  ""пролісок""",16,16,16
"товариство з обмеженою відповідальністю ""кооператор-сервіс""",16,16,16
"сектор культури, молоді та спорту миронівської районної державної адміністрації",16,16,16
"приватне підприємство "" бор - ка """,16,16,16
"комунальне некомерційне підприємство ""сєвєродонецька  міська багатопрофільна лікарня"" сєвєродонецької міської ради",16,16,16
національний університет харчових технологій,16,16,16
пулинська селищна рада,16,16,16
"товариство з обмеженою відповідальністю ""агрон""",16,16,16
"державне підприємство ""вінницьке лісове господарство""",16,16,16
"приватний вищий навчальний заклад ""європейський університет""",16,16,16
"споживче товариство ""агросервіс""",16,16,16
"державне підприємство ""вовчанське лісове господарство""",16,16,16
управління праці та соціального захисту населення косівської районної державної адміністрації,16,16,16
"приватне підприємство ""агрофірма ""славутич""",16,16,16
подільський державний аграрно - технічний університет,16,16,16
"державне підприємство ""центр сертифікації та експертизи насіння і садивного матеріалу""",16,16,16
ринок бережанського рай ст,16,16,16
відділ освіти та культури  ківерцівської районної державної адміністрації волинської області,16,16,16
"комунальне підприємство ""теплоенергетик""",16,16,16
"товариство з обмеженою відповідальністю ""твій хліб""",16,16,16
"державне підприємство ""холминське лісове господарство""",16,16,16
"фермерське господарство  ""фортуна "".",16,16,16
"акціонерне товариство ""оператор газорозподільної системи ""полтавагаз""",16,16,16
"державне підприємство ""цуманське лісове господарство""",16,16,16
"комунальне підприємство ""міський ринок""",16,16,16
"концерн ""міські теплові мережі""",16,16,16
"приватне акціонерне товариство ""шахта "" надія""",16,16,16
"комунальне некомерційне підприємство ізмаїльської міської ради "" ізмаїльська міська центральна лікарня""",16,16,16
"державне підприємство ""новгород-сіверське лісове господарство""",16,16,16
національний транспортний університет,16,16,16
"національний університет ""запорізька політехніка""",16,16,16
"відділ культури, туризму та охорони культурної спадщини виконавчого комітету ходорівської міської ради",16,16,16
"підприємство ""помічнянський ринок"" добровеличківського райспоживтовариства",16,16,16
"сектор культури, національностей та релігії яготинської районної державної адміністрації",16,16,16
"державне підприємство ""корюківське лісове господарство""",16,16,16
