,sphere,clear_position,ide,pib
103,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,начальник відділу,351,351
104,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,начальник лікарні,3,3
105,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,начальник управління,296,296
106,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,помічник лікаря,63,63
107,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,провідний лікар,25,25
108,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,провідний спеціаліст,289,289
109,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,провідний фахівець,138,138
110,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,спеціаліст,1,1
111,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,фахівець,32,32
112,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,фельдшер санітарний,241,241
113,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,юрист,1,1
115,"Державна служба України з питань геодезії, картографії та кадастру",в.о. завідувача сектору ,1,1
116,"Державна служба України з питань геодезії, картографії та кадастру",в.о. начальника відділу,6,6
117,"Державна служба України з питань геодезії, картографії та кадастру",в.о. провідного спеціаліста,1,1
118,"Державна служба України з питань геодезії, картографії та кадастру",головний спеціаліст,214,214
119,"Державна служба України з питань геодезії, картографії та кадастру",державний інспектор,114,114
120,"Державна служба України з питань геодезії, картографії та кадастру",заступник начальника відділу,13,13
121,"Державна служба України з питань геодезії, картографії та кадастру",начальник відділу,90,90
122,"Державна служба України з питань геодезії, картографії та кадастру",начальник управління,1,1
123,"Державна служба України з питань геодезії, картографії та кадастру",провідний спеціаліст,49,49
124,"Державна служба України з питань геодезії, картографії та кадастру",спеціаліст,2,2
125,"Державна служба України з питань геодезії, картографії та кадастру",старший державний інспектор,29,29
127,Державна служба України з питань праці,в.о. заступника начальника відділу,2,2
128,Державна служба України з питань праці,в.о. начальника відділу,1,1
129,Державна служба України з питань праці,в.о. начальника управління,3,3
130,Державна служба України з питань праці,головний державний ревізор,1,1
131,Державна служба України з питань праці,головний державний інспектор,1265,1265
132,Державна служба України з питань праці,головний спеціаліст,17,17
133,Державна служба України з питань праці,головний інспектор,3,3
134,Державна служба України з питань праці,"департамент соціальних питань та охорони здоров""я",1,1
135,Державна служба України з питань праці,державний інспектор,13,13
136,Державна служба України з питань праці,директор департаменту,1,1
137,Державна служба України з питань праці,завідувач сектору,22,22
138,Державна служба України з питань праці,заступник голови державної служби,1,1
139,Державна служба України з питань праці,заступник директора департаменту,1,1
140,Державна служба України з питань праці,заступник начальника відділу,111,111
141,Державна служба України з питань праці,заступник начальника управління,16,16
142,Державна служба України з питань праці,лікар,8,8
143,Державна служба України з питань праці,начальник відділу,148,148
144,Державна служба України з питань праці,начальник управління,25,25
145,Державна служба України з питань праці,провідний державний інспектор,3,3
146,Державна служба України з питань праці,провідний спеціаліст,1,1
147,Державна служба України з питань праці,інспектор,11,11
149,Державна служба України з питань якості освіти,вчитель,11,11
150,Державна служба України з питань якості освіти,головний спеціаліст,88,88
151,Державна служба України з питань якості освіти,директор департаменту,1,1
152,Державна служба України з питань якості освіти,директор школи,14,14
153,Державна служба України з питань якості освіти,документознавець,1,1
154,Державна служба України з питань якості освіти,завідувач днз,1,1
155,Державна служба України з питань якості освіти,завідувач науково-методичного центру,1,1
156,Державна служба України з питань якості освіти,завідувач сектору,5,5
157,Державна служба України з питань якості освіти,заступник директора департаменту,2,2
158,Державна служба України з питань якості освіти,заступник директора школи,25,25
159,Державна служба України з питань якості освіти,заступник начальника відділу,32,32
160,Державна служба України з питань якості освіти,методист,10,10
161,Державна служба України з питань якості освіти,начальник відділу,21,21
162,Державна служба України з питань якості освіти,начальник управління,3,3
163,Державна служба України з питань якості освіти,провідний документознавець,1,1
164,Державна служба України з питань якості освіти,проректор,1,1
165,Державна служба України з питань якості освіти,професор кафедри,1,1
166,Державна служба України з питань якості освіти,старший викладач,1,1
168,Державна служба геології та надр України,головний спеціаліст,12,12
169,Державна служба геології та надр України,заступник директора департаменту,2,2
170,Державна служба геології та надр України,заступник начальника відділу,3,3
171,Державна служба геології та надр України,начальник відділу,6,6
172,Державна служба геології та надр України,провідний спеціаліст,2,2
174,Державна інспекція ядерного регулювання України,головний спеціаліст,22,22
175,Державна інспекція ядерного регулювання України,завідувач сектору,1,1
