,sphere_detailed,short_name,ide
0,регіональні управління державної служби україни з надзвичайних ситуацій,ДСНС,45464
1,держпродспоживслужба,держпродспоживслужба,35867
2,держпраці,держпраці,25091
3,державна служба україни з питань безпечності харчових продуктів та захисту споживачів,Держпродспоживслужба,22432
4,пенсійний фонд,ПФУ,19520
5,державна екологічна інспекція,Держекоінспекція,18412
6,державна служба україни з надзвичайних ситуацій,ДСНС,16809
7,державна служба україни з питань праці,Держпраці,16637
8,"державна служба україни з питань геодезії, картографії та кадастру",Держгеокадастр,6180
9,управління державного архітектурно-будівельного контролю омс,управління державного архітектурно-будівельного контролю омс,3904
10,державна служба україни з лікарських засобів та контролю за наркотиками,Держлікслужба,3476
11,державна інспекція енергетичного нагляду україни,Держенергонагляд,1702
12,пенсійний фонд україни,ПФУ,1150
13,відділи праці омс,відділи праці омс,1107
14,державна служба геології та надр україни,Держгеонадра,1065
15,державна служба україни з безпеки на транспорті,Укртрансбезпека,870
16,регіональні управління держгеокадастру,Держгеокадастр,530
17,регіональні управління державного агентства рибного господарства,Держрибагенство,400
18,державна служба морського та річкового транспорту україни,Морська адміністрація,363
19,державна служби якості освіти,ДСЯО,308
