,short_name,ide,sphere_detailed
0,Харківська...,15634,Харківська область
1,Київська...,13214,Київська область
2,Дніпропетр...,12927,Дніпропетровська область
3,Житомирськ...,11951,Житомирська область
4,Одеська...,10779,Одеська область
5,Київ...,10343,місто Київ
6,Львівська...,9141,Львівська область
7,Вінницька...,8585,Вінницька область
8,Запорізька...,7906,Запорізька область
9,Полтавська...,7666,Полтавська область
10,Миколаївсь...,7624,Миколаївська область
11,Хмельницьк...,7474,Хмельницька область
12,Кіровоград...,7433,Кіровоградська область
13,Волинська...,6731,Волинська область
14,Черкаська...,6461,Черкаська область
15,Чернігівсь...,6094,Чернігівська область
16,Івано-фран...,5865,Івано-франківська область
17,Тернопільс...,5691,Тернопільська область
18,Сумська...,5445,Сумська область
19,Рівненська...,5131,Рівненська область
20,Херсонська...,5008,Херсонська область
21,Закарпатсь...,4848,Закарпатська область
22,Луганська...,4546,Луганська область
23,Донецька...,4208,Донецька область
24,Чернівецьк...,3206,Чернівецька область
25,Крим...,7,Автономна республіка Крим
