,date_start,sphere_detailed,status,ide
64,2020-02,Відділи праці ОМС,Не проведено,15
65,2020-02,Відділи праці ОМС,Проведено,154
66,2020-02,Державна екологічна інспекція,Заплановано,21
67,2020-02,Державна екологічна інспекція,Не проведено,220
68,2020-02,Державна екологічна інспекція,Проведено,1170
69,2020-02,Державна служба України з безпеки на транспорті,Заплановано,3
70,2020-02,Державна служба України з безпеки на транспорті,Не проведено,73
71,2020-02,Державна служба України з безпеки на транспорті,Проведено,21
72,2020-02,Державна служба України з лікарських засобів та контролю за наркотиками,Заплановано,5
73,2020-02,Державна служба України з лікарських засобів та контролю за наркотиками,Не проведено,52
74,2020-02,Державна служба України з лікарських засобів та контролю за наркотиками,Проведено,319
75,2020-02,Державна служба України з надзвичайних ситуацій,Заплановано,14
76,2020-02,Державна служба України з надзвичайних ситуацій,Не проведено,2313
77,2020-02,Державна служба України з надзвичайних ситуацій,Проведено,10782
78,2020-02,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Заплановано,3
79,2020-02,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Не проведено,861
80,2020-02,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Проведено,3039
81,2020-02,"Державна служба України з питань геодезії, картографії та кадастру",Заплановано,2
82,2020-02,"Державна служба України з питань геодезії, картографії та кадастру",Не проведено,26
83,2020-02,"Державна служба України з питань геодезії, картографії та кадастру",Проведено,540
84,2020-02,Державна служба України з питань праці,Заплановано,3
85,2020-02,Державна служба України з питань праці,Не проведено,400
86,2020-02,Державна служба України з питань праці,Проведено,6341
87,2020-02,Державна служба геології та надр України,Не проведено,3
88,2020-02,Державна служба геології та надр України,Проведено,52
89,2020-02,Державна служба морського та річкового транспорту України,Не проведено,34
90,2020-02,Державна служби якості освіти,Не проведено,1
91,2020-02,Державна служби якості освіти,Проведено,17
92,2020-02,Державна інспекція енергетичного нагляду України,Не проведено,183
93,2020-02,Державна інспекція ядерного регулювання України,Заплановано,1
94,2020-02,Державна інспекція ядерного регулювання України,Проведено,22
95,2020-02,Державне агентство рибного господарства,Не проведено,3
96,2020-02,Державне агентство рибного господарства,Проведено,19
97,2020-02,Міністерство внутрішніх справ України,Не проведено,2
98,2020-02,Міністерство внутрішніх справ України,Проведено,17
99,2020-02,Міністерство захисту довкілля та природних ресурсів України ,Проведено,2
100,2020-02,Міністерство охорони здоров'я України,Не проведено,6
101,2020-02,Міністерство охорони здоров'я України,Проведено,7
102,2020-02,"Національна комісія, що здійснює державне регулювання у сферах енергетики та комунальних послуг",Заплановано,16
103,2020-02,Пенсійний фонд України,Заплановано,4
104,2020-02,Пенсійний фонд України,Не проведено,9
105,2020-02,Пенсійний фонд України,Проведено,2432
106,2020-02,Управління державного архітектурно-будівельного контролю ОМС,Заплановано,191
107,2020-02,Управління державного архітектурно-будівельного контролю ОМС,Не проведено,12
108,2020-02,Управління державного архітектурно-будівельного контролю ОМС,Проведено,210
109,2020-03,Відділи праці ОМС,Не проведено,1
110,2020-03,Відділи праці ОМС,Проведено,24
111,2020-03,Державна екологічна інспекція,Заплановано,7
112,2020-03,Державна екологічна інспекція,Не проведено,639
113,2020-03,Державна екологічна інспекція,Проведено,598
114,2020-03,Державна служба України з безпеки на транспорті,Заплановано,1
115,2020-03,Державна служба України з безпеки на транспорті,Не проведено,98
116,2020-03,Державна служба України з безпеки на транспорті,Проведено,7
117,2020-03,Державна служба України з лікарських засобів та контролю за наркотиками,Заплановано,5
118,2020-03,Державна служба України з лікарських засобів та контролю за наркотиками,Не проведено,141
119,2020-03,Державна служба України з лікарських засобів та контролю за наркотиками,Проведено,188
120,2020-03,Державна служба України з надзвичайних ситуацій,Заплановано,5
121,2020-03,Державна служба України з надзвичайних ситуацій,Не проведено,4005
122,2020-03,Державна служба України з надзвичайних ситуацій,Проведено,3175
123,2020-03,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Не проведено,1656
124,2020-03,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Проведено,2240
125,2020-03,"Державна служба України з питань геодезії, картографії та кадастру",Заплановано,1
126,2020-03,"Державна служба України з питань геодезії, картографії та кадастру",Не проведено,372
127,2020-03,"Державна служба України з питань геодезії, картографії та кадастру",Проведено,418
128,2020-03,Державна служба України з питань праці,Заплановано,1
129,2020-03,Державна служба України з питань праці,Не проведено,1009
130,2020-03,Державна служба України з питань праці,Проведено,1615
131,2020-03,Державна служба геології та надр України,Не проведено,26
132,2020-03,Державна служба геології та надр України,Проведено,45
133,2020-03,Державна служба морського та річкового транспорту України,Не проведено,45
134,2020-03,Державна служби якості освіти,Не проведено,19
135,2020-03,Державна служби якості освіти,Проведено,3
136,2020-03,Державна інспекція енергетичного нагляду України,Не проведено,174
137,2020-03,Державна інспекція ядерного регулювання України,Заплановано,2
138,2020-03,Державна інспекція ядерного регулювання України,Не проведено,19
139,2020-03,Державна інспекція ядерного регулювання України,Проведено,8
140,2020-03,Державне агентство рибного господарства,Заплановано,1
141,2020-03,Державне агентство рибного господарства,Не проведено,30
142,2020-03,Державне агентство рибного господарства,Проведено,15
143,2020-03,Міністерство внутрішніх справ України,Не проведено,7
144,2020-03,Міністерство внутрішніх справ України,Проведено,5
145,2020-03,Міністерство захисту довкілля та природних ресурсів України ,Не проведено,3
146,2020-03,Міністерство охорони здоров'я України,Не проведено,16
147,2020-03,"Національна комісія, що здійснює державне регулювання у сферах енергетики та комунальних послуг",Заплановано,30
148,2020-03,Пенсійний фонд України,Не проведено,60
149,2020-03,Пенсійний фонд України,Проведено,1760
150,2020-03,Управління державного архітектурно-будівельного контролю ОМС,Заплановано,281
151,2020-03,Управління державного архітектурно-будівельного контролю ОМС,Не проведено,22
152,2020-03,Управління державного архітектурно-будівельного контролю ОМС,Проведено,68
153,2020-04,Державна екологічна інспекція,Не проведено,982
154,2020-04,Державна екологічна інспекція,Проведено,183
155,2020-04,Державна служба України з безпеки на транспорті,Не проведено,95
156,2020-04,Державна служба України з лікарських засобів та контролю за наркотиками,Не проведено,340
157,2020-04,Державна служба України з лікарських засобів та контролю за наркотиками,Проведено,7
158,2020-04,Державна служба України з надзвичайних ситуацій,Не проведено,4385
159,2020-04,Державна служба України з надзвичайних ситуацій,Проведено,87
160,2020-04,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Не проведено,2612
161,2020-04,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Проведено,939
162,2020-04,"Державна служба України з питань геодезії, картографії та кадастру",Заплановано,1
163,2020-04,"Державна служба України з питань геодезії, картографії та кадастру",Не проведено,660
164,2020-04,"Державна служба України з питань геодезії, картографії та кадастру",Проведено,30
165,2020-04,Державна служба України з питань праці,Не проведено,1551
166,2020-04,Державна служба України з питань праці,Проведено,33
167,2020-04,Державна служба геології та надр України,Не проведено,58
