,pib,clear_position,sphere,viol_sum,insp_count,short_name
154,Арабаджи Галина Володимирівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
155,Арабаджи Михайло Костянтинович,державний інспектор,Державна екологічна інспекція України,163.0,42,Держекоінспекція
156,Аралін Максим Олександрович,головний інспектор,Державна служба України з надзвичайних ситуацій,1416.0,108,ДСНС
157,Аранчій Дмитро Сергійович,заступник начальника управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,1,Держпродспоживслужба
158,Аранчій Олена Валеріївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,26,Держпродспоживслужба
159,Арашкієв Вячеслав Уресович,головний державний інспектор,Державна служба України з питань праці,1076.0,23,Держпраці
160,Ареп'Єв Артем Дмитрович,провідний інспектор,Державна служба України з надзвичайних ситуацій,466.0,44,ДСНС
161,Арестова Оксана Анатоліївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,7,Держпродспоживслужба
162,Ареф'Єв Євгеній Іванович,головний державний інспектор,Державна служба України з питань праці,85.0,12,Держпраці
163,Арнаут Марина Олександрівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,4,Держпродспоживслужба
164,Арсенюк Михайло Олегович,провідний інспектор,Державна служба України з надзвичайних ситуацій,60.0,10,ДСНС
165,Арсенюк С.В.,державний інспектор,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,1,Держпродспоживслужба
166,Арсенюк Сергій Васильович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,2,Держпродспоживслужба
167,Арсірій Інна Миколаївна,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,100.0,26,Держпродспоживслужба
168,Артеменко Андрій Юрійович,начальник відділу,Державна служба України з питань праці,395.0,20,Держпраці
169,Артеменко Денис Юрійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,207.0,19,ДСНС
170,Артеменко Людмила Анатоліївна,головний державний інспектор,Державна служба України з питань праці,153.0,50,Держпраці
171,Артемишин Павло Миколайович,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,2,Держпродспоживслужба
172,Артемчук Валентин Віталійович,начальник управління,Державна служба України з надзвичайних ситуацій,1213.0,74,ДСНС
173,Артикульна Лариса Петрівна,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
174,Артищук Сергій Ігорович,провідний інспектор,Державна служба України з надзвичайних ситуацій,75.0,6,ДСНС
175,Артищук Тетяна Михайлівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,9.0,29,Держпродспоживслужба
176,Артюгіна Ірина Анатоліївна,начальник відділу,Державна екологічна інспекція України,62.0,12,Держекоінспекція
177,Артюх Олена Василівна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,3,Держпродспоживслужба
178,Артюхов Євген Павлович,державний інспектор,Державна екологічна інспекція України,0.0,26,Держекоінспекція
179,Арутюнова Ірина Вікторівна,головний інспектор,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,13.0,15,УДАБК ОМС
180,Архипенко Юлія Федорівна,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
181,Архипова Тамара Миколаївна,головний спеціаліст,Відділи праці органів місцевого самоврядування,1.0,12,ВП ОМС
182,Архипова Тетяна Владиславівна,лікар,Державна служба України з питань праці,155.0,9,Держпраці
183,Арцибашев Роман Валерійович,державний інспектор,Державна служба України з надзвичайних ситуацій,221.0,25,ДСНС
184,Арцибашева Ольга Сергіївна,головний спеціаліст,Пенсійний фонд України,15.0,18,ПФУ
185,Арямін Олександр Анатолійович,головний державний інспектор,Державна служба України з питань праці,470.0,30,Держпраці
186,Асаул Олена Миколаївна,в.о. начальника відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,80,Держпродспоживслужба
187,Аскерова Тетяна Іванівна,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,47.0,22,Держпродспоживслужба
188,Асмолов Андрій Вікторович,фахівець,Державна служба України з надзвичайних ситуацій,320.0,13,ДСНС
189,Асмолова Світлана Михайлівна,провідний фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,3,Держпродспоживслужба
