,pib,clear_position,sphere,viol_sum,insp_count,short_name
0,Aнтонюк Микола Ілліч,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,1,Держпродспоживслужба
1,Абакуменко Роман Васильович,провідний фахівець,Державна служба України з надзвичайних ситуацій,103.0,2,ДСНС
2,Абдураманова Надія Василівна,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",13.0,2,Держгеокадастр
3,Абрамов Денис Олександрович,заступник директора департаменту,Державна служба геології та надр України,14.0,5,Держгеонадра
4,Абрамчук Олена Олексіївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,2,Держпродспоживслужба
5,Абросімов Олексій Олексійович,державний інспектор,Державна екологічна інспекція України,0.0,1,Держекоінспекція
6,Абібуллаєва Мар'Яна Василівна,завідувач сектору,Державна служба України з питань праці,2.0,2,Держпраці
7,Абіятов Володимир Олександрович,заступник начальника відділу,Державна служба України з надзвичайних ситуацій,267.0,12,ДСНС
8,Авдєєнко Андрій Ілліч,головний державний інспектор,Державна служба України з питань праці,63.0,10,Держпраці
9,Авдієнко Алла Вікторівна,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
10,Аврам М.М,головний державний інспектор,Державна екологічна інспекція України,16.0,1,Держекоінспекція
11,Авраменко Артем Володимирович,заступник начальника відділу,Державна служба України з питань праці,12.0,6,Держпраці
12,Авраменко Максим Віталійович,державний інспектор,Державна служба України з надзвичайних ситуацій,60.0,8,ДСНС
13,Авраменко Олександр Миколайович,головний інспектор,Державна служба України з надзвичайних ситуацій,360.0,61,ДСНС
14,Авраменко Олена Геннадіївна,головний спеціаліст,Державна служба України з лікарських засобів та контролю за наркотиками,49.0,13,Держлікслужба
15,Авраменко Сергій Миколайович,державний інспектор,Державна екологічна інспекція України,79.0,20,Держекоінспекція
16,Авраменко Юрій Володимирович,головний інспектор,Державна служба України з надзвичайних ситуацій,258.0,18,ДСНС
17,Аврамич Андрій Миколайович,головний державний інспектор,Державна служба України з питань праці,3.0,1,Держпраці
18,Аврамов Віталій Іванович,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,7.0,2,Держпродспоживслужба
19,Аврамчук Алла Миколаївна,головний державний інспектор,Державна служба України з питань праці,18.0,25,Держпраці
20,Автутова Антоніна Вікторівна,головний державний інспектор,Державна служба України з питань праці,25.0,39,Держпраці
21,Авілова Олена Володимирівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,99.0,26,Держпродспоживслужба
22,Агапій Вероніка Михайлівна,фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,1,Держпродспоживслужба
23,Агарков Дмитро Юрійович,начальник відділу,Державна служба України з питань праці,572.0,59,Держпраці
24,Агафонкіна Тамара Олексіївна,помічник лікаря,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,5.0,9,Держпродспоживслужба
25,Агафонов Віктор Миколайович,начальник управління,Державна служба України з надзвичайних ситуацій,55.0,3,ДСНС
26,Агафонова Ольга Олександрівна,начальник відділу,Пенсійний фонд України,16.0,20,ПФУ
27,Агеєнко Олена Петрівна,заступник начальника державної служби,Державна служба України з лікарських засобів та контролю за наркотиками,18.0,4,Держлікслужба
28,Адаменко Олена Володимирівна,заступник начальника відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,28.0,6,Держпродспоживслужба
29,Адамчук Андрій Анатолійович,начальник управління,Державна служба України з питань праці,410.0,3,Держпраці
30,Адамчук Жанна Павлівна,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,64.0,19,Держпродспоживслужба
31,Адамчук Зіновія Зіновіївна,головний спеціаліст,Пенсійний фонд України,38.0,42,ПФУ
32,Адоніна Олена Володимирівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,13.0,55,Держпродспоживслужба
33,Азевич Любов Миколаївна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,106,Держпродспоживслужба
34,Акберов Арзу Елгарогли,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,35.0,6,Держпродспоживслужба
35,Акименко Станіслав Олегович,державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",8.0,11,Держгеокадастр
36,Аксентьєва Ірина Олександрівна,заступник начальника відділу,Державна служба України з питань праці,59.0,5,Держпраці
37,Аксьоненко Єгеній Олександрович,провідний інспектор,Державна служба України з надзвичайних ситуацій,204.0,16,ДСНС
38,Аксьонова Алла Миколаївна,головний державний інспектор,Державна служба України з питань праці,485.0,33,Держпраці
39,Аксютенко Андрій Олегович,головний спеціаліст,Державна екологічна інспекція України,62.0,43,Держекоінспекція
40,Аксютіна Світлана Вікторівна,провідний інспектор,Державна служба України з надзвичайних ситуацій,437.0,24,ДСНС
41,Акуленко І.В.,головний спеціаліст,Державна екологічна інспекція України,18.0,3,Держекоінспекція
42,Акуленко Ірина Володимирівна,головний спеціаліст,Державна екологічна інспекція України,25.0,4,Держекоінспекція
43,Аладіна Олена Геннадіївна,головний державний інспектор,Державна служба України з питань праці,16.0,25,Держпраці
44,Алдушина Людмила Петрівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
45,Александров О.О.,державний інспектор,Державна екологічна інспекція України,21.0,8,Держекоінспекція
46,Александрова Лідія Юріївна,головний державний інспектор,Державна служба України з питань праці,89.0,84,Держпраці
47,Александрова Оксана Іванівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,10.0,58,Держпродспоживслужба
48,Александрова Інна Володимирівна,помічник лікаря,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,14,Держпродспоживслужба
49,Александровський Олександр Васильович,головний спеціаліст,Пенсійний фонд України,59.0,38,ПФУ
50,Алексанрова Еліна Миколаївна,провідний спеціаліст,Державна екологічна інспекція України,187.0,47,Держекоінспекція
51,Алексевич М.І.,провідний інспектор,Державна служба України з надзвичайних ситуацій,560.0,29,ДСНС
52,Алексенко Оксана Миколаївна,головний державний інспектор,Державна служба України з питань праці,8.0,10,Держпраці
53,Алексенко Світлана Володимирівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,6.0,6,Держпродспоживслужба
54,Алексеєнко І.М.,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,8.0,2,Держпродспоживслужба
55,Алексєєнко Лемовська Людмила Владиславівна,заступник начальника відділу,Державна служба України з питань якості освіти,25.0,1,ДСЯО
56,Алефіренко Ірина Миколаївна,провідний фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,44,Держпродспоживслужба
57,Алешко Сусанна Миронівна,завідуючий державної лабораторії,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,1,Держпродспоживслужба
58,Алпанов Ігор Олександрович,державний інспектор,Державна служба України з надзвичайних ситуацій,385.0,11,ДСНС
59,Алтунін Сергій Михайлович,головний державний інспектор,Державна служба України з питань праці,1040.0,47,Держпраці
60,"Алтунін Сергій Михайлович, Зюзін Володимир Іванович",головний державний інспектор,Державна служба України з питань праці,74.0,1,Держпраці
61,Алфімов Олександр Сергійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,204.0,20,ДСНС
62,Альохін Віталій Ігорович,провідний інспектор,Державна служба України з надзвичайних ситуацій,52.0,16,ДСНС
63,Альшаков Олександр Валерійович,головний інспектор,Державна служба України з надзвичайних ситуацій,48.0,14,ДСНС
64,Алєксєєнко Віктор Петрович,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,6.0,26,Держпродспоживслужба
65,Алєксєєнко Іван Олександрович,начальник відділу,Державна екологічна інспекція України,82.0,18,Держекоінспекція
66,Аліфанова Галина Валеріївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
67,Алієв Вюсал Гусейнага Огли,начальник відділу,Державна служба України з питань праці,952.0,24,Держпраці
68,Алієва Марія Анатоліївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,3,Держпродспоживслужба
69,Алієва Олена Сергіївна,державний інспектор,Державна служба України з надзвичайних ситуацій,227.0,15,ДСНС
70,Амрахов Садрадін Майор Огли,лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,11,Держпродспоживслужба
71,Ананьєва Олена Леонідівна,заступник начальника відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,5,Держпродспоживслужба
72,Ананєвич Оксана Зіновіївна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,6.0,9,Держпродспоживслужба
73,Анацький Давид Богданович,фахівець,Державна служба України з надзвичайних ситуацій,2.0,2,ДСНС
74,Андращук Людвіг Степанович,головний державний інспектор,Державна служба України з питань праці,256.0,10,Держпраці
75,Андреєв Андрій Степанович,начальник відділу,Державна служба України з питань праці,274.0,29,Держпраці
76,Андреєв Сергій Валерійович,головний державний інспектор,Державна служба України з питань праці,225.0,22,Держпраці
77,Андросенко Олена Станіславовна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,11.0,8,Держпродспоживслужба
78,Андросенко Р.М.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,1,Держпродспоживслужба
79,Андросенко Сергій Васильович,головний державний інспектор,Державна служба України з питань праці,241.0,40,Держпраці
80,Андросович Світлана Анатоліївна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,4,Держпродспоживслужба
81,Андрусенко Валентина Павлівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,4,Держпродспоживслужба
82,Андрусик Людмила Іванівна,провідний лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,12,Держпродспоживслужба
83,Андрусик Ольга Михайлівна,головний спеціаліст,Пенсійний фонд України,17.0,17,ПФУ
84,Андрушко Володимир Петрович,головний державний інспектор,Державна служба України з питань праці,257.0,31,Держпраці
85,Андрушко О. В.,провідний фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,5.0,33,Держпродспоживслужба
86,Андрущак Олена Михайлівна,головний спеціаліст,Державна служба України з питань якості освіти,2.0,1,ДСЯО
87,Андрущакевич Роман Юліанович,державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",14.0,21,Держгеокадастр
88,Андрущенко Андрій Володимирович,головний інспектор,Державна служба України з надзвичайних ситуацій,1649.0,69,ДСНС
89,Андрущенко Андрій Олександрович,провідний інспектор,Державна служба України з надзвичайних ситуацій,429.0,40,ДСНС
90,Андрущенко Вадим Володимирович,головний державний інспектор,Державна служба України з питань праці,1.0,6,Держпраці
91,Андрущенко Жанна Іванівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,2,Держпродспоживслужба
92,Андрюк В.Г,державний інспектор,Державна екологічна інспекція України,11.0,1,Держекоінспекція
93,Андрюк Вікторія Георгіївна,державний інспектор,Державна екологічна інспекція України,110.0,19,Держекоінспекція
94,Андрюк Олександр Степанович,провідний фахівець,Державна служба України з надзвичайних ситуацій,245.0,17,ДСНС
95,Андрющенко Євген Володимирович,головний спеціаліст,Державна екологічна інспекція України,14.0,3,Держекоінспекція
96,Андрющенко Іван Анатолійович,головний спеціаліст,Відділи праці органів місцевого самоврядування,0.0,7,ВП ОМС
97,Андрєєв Андрій Юрійович,головний державний інспектор,Державна служба України з питань праці,500.0,41,Держпраці
98,Андрєєв Сергій Анатолійович,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,9,Держпродспоживслужба
99,Андрєєв Євген Валерійович,головний інспектор,Державна служба України з надзвичайних ситуацій,153.0,14,ДСНС
100,Андрєєва Анастасія Андріївна,головний спеціаліст,Державна служба України з питань якості освіти,25.0,1,ДСЯО
101,Андрєєва Катерина Володимирівна,заступник начальника відділу,Пенсійний фонд України,17.0,18,ПФУ
102,Андрійків Віра Михайлівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40.0,92,Держпродспоживслужба
103,Андрійченко Олександр Володимирович,фахівець,Державна служба України з надзвичайних ситуацій,389.0,32,ДСНС
104,Андрійченко Олександр Олександрович,фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,7.0,16,Держпродспоживслужба
105,Андрійченко Сергій Олександрович,провідний інспектор,Державна служба України з надзвичайних ситуацій,282.0,29,ДСНС
106,Андрійчук Ганна Василівна,фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,2,Держпродспоживслужба
107,Андрійчук Марія Юріівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,4,Держпродспоживслужба
108,Андрійчук Надія Миколаївна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,12.0,28,Держпродспоживслужба
109,Андрійчук Оксана Петрівна,головний державний інспектор,Державна служба України з питань праці,776.0,14,Держпраці
110,Андрійчук Олександр Петрович,державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",3.0,8,Держгеокадастр
111,Андрійчук Руслана Олександрівна,головний спеціаліст,Пенсійний фонд України,41.0,43,ПФУ
112,Андрійчук Світлана Михайлівна,начальник відділу,Державна служба України з питань якості освіти,4.0,1,ДСЯО
113,Андрікевич Володимир Валерійович,провідний фахівець,Державна служба України з надзвичайних ситуацій,230.0,39,ДСНС
114,Андріяш Сергій Володимирович,головний фахівець,Державна служба України з надзвичайних ситуацій,59.0,1,ДСНС
115,Андріяш Євген Олександрович,провідний інспектор,Державна служба України з надзвичайних ситуацій,305.0,37,ДСНС
116,Андрієнко Валерія Олександрівна,провідний інспектор,Державна служба України з надзвичайних ситуацій,224.0,31,ДСНС
117,Андрієнко Владислав Сергійович,фахівець,Державна служба України з надзвичайних ситуацій,334.0,25,ДСНС
118,Андрієнко Наталія Володимирівна,начальник державної служби,Державна служба України з лікарських засобів та контролю за наркотиками,92.0,7,Держлікслужба
119,Андрієнко Сергій Віталійович,головний державний інспектор,Державна служба України з питань праці,348.0,28,Держпраці
120,Андрієць Сергій Васильович,головний державний інспектор,Державна служба України з питань праці,144.0,22,Держпраці
121,Анищенко Євген Федорович,начальник відділу,Державна служба України з питань праці,325.0,9,Держпраці
122,Анодіна Наталія Олесіївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,4.0,11,Держпродспоживслужба
123,Аношкін Євген Вікторович,головний державний інспектор,Державна служба України з питань праці,1270.0,41,Держпраці
124,Антипенко Ірина Анатоліївна,лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,8,Держпродспоживслужба
125,Антоненко Валентин Вікторович,провідний інспектор,Державна служба України з надзвичайних ситуацій,152.0,20,ДСНС
126,Антоненко Дмитро Анатолійович,головний державний інспектор,Державна служба України з питань праці,111.0,9,Держпраці
127,Антоненко Людмила Анатоліївна,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,7.0,7,Держпродспоживслужба
128,Антоненко Наталія Геннадіївна,заступник начальника управління,Державна служба України з питань праці,0.0,1,Держпраці
129,Антоненко Олена Петрівна,головний державний інспектор,Державна служба України з питань праці,17.0,61,Держпраці
130,Антоненко Сергій Михайлович,головний інспектор,Державна служба України з надзвичайних ситуацій,235.0,26,ДСНС
131,Антоненко Федір Олексійович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,2,Держпродспоживслужба
132,Антоненко Ірина Олександрівна,державний інспектор,Державна служба України з надзвичайних ситуацій,280.0,25,ДСНС
133,Антонов Костянтин Миколайович,провідний інспектор,Державна служба України з надзвичайних ситуацій,292.0,64,ДСНС
134,Антонов Сергій Олексійович,головний інспектор,Державна служба України з надзвичайних ситуацій,640.0,56,ДСНС
135,Антонова Леся Юріївна,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,33.0,94,Держпродспоживслужба
136,Антончук Сергій Олександрович,провідний інспектор,Державна служба України з надзвичайних ситуацій,326.0,32,ДСНС
137,Антонюк Микола Ілліч,заступник начальника управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,8.0,2,Держпродспоживслужба
138,Антонюк Олександра Костянтинівна,провідний інспектор,Державна служба України з надзвичайних ситуацій,299.0,38,ДСНС
139,Антонюк Р.С.,начальник відділу,Державна екологічна інспекція України,28.0,2,Держекоінспекція
140,Антонюк Руслан Сергійович,старший державний інспектор,Державна екологічна інспекція України,23.0,2,Держекоінспекція
141,Антіпенко Костянтин Олександрович,провідний інспектор,Державна служба України з надзвичайних ситуацій,133.0,8,ДСНС
142,Антіпов В'Ячеслав Миколайович,головний спеціаліст,"Національна комісія, що здійснює державне регулювання у сфері зв'язку та інформатизації",1.0,2,НКРЗІ
143,Ануля Валентина Олексіївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,33.0,92,Держпродспоживслужба
144,Ануфрієва Ольга Броніславівна,головний державний інспектор,Державна служба України з питань праці,778.0,15,Держпраці
145,Анциферова Ганна Олександрівна,головний спеціаліст,Міністерство захисту довкілля та природних ресурсів України,54.0,23,Міндовкілля
146,Анцупова Ольга Василівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,31,Держпродспоживслужба
147,Анікіна Галина Анатоліївна,головний спеціаліст,Державна екологічна інспекція України,4.0,3,Держекоінспекція
148,Анікієнко Василь Іванович,головний державний інспектор,Державна служба України з питань праці,321.0,17,Держпраці
149,Аністратенко Олексій Олегович,фахівець,Державна служба України з надзвичайних ситуацій,506.0,12,ДСНС
150,Анісімов Микола Павлович,головний державний інспектор,Державна служба України з питань праці,12.0,28,Держпраці
151,Апальков Дмитро Андрійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,948.0,74,ДСНС
152,Апонасенко Ольга Геннадіївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,6.0,4,Держпродспоживслужба
153,Апостол Дмитро Валентинович,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",14.0,14,Держгеокадастр
