,sphere,short_name,ide,pib,raiting
1,Державна служба України з надзвичайних ситуацій,ДСНС,575624,2232,257.9
2,Державна служба України з питань праці,Держпраці,135582,1649,82.22
3,Державна служба геології та надр України,Держгеонадра,1339,26,51.5
4,Державна екологічна інспекція України,Держекоінспекція,26566,1165,22.8
5,Державна служба України з лікарських засобів та контролю за наркотиками,Держлікслужба,3120,166,18.8
6,Пенсійний фонд України,ПФУ,16195,934,17.34
7,Міністерство захисту довкілля та природних ресурсів України,Міндовкілля,163,14,11.64
8,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,УДАБК ОМС,888,126,7.05
9,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Держпродспоживслужба,19478,3009,6.47
10,Міністерство внутрішніх справ України,МВС,83,15,5.53
11,Державна служба України з питань якості освіти,ДСЯО,1148,220,5.22
12,"Державна служба України з питань геодезії, картографії та кадастру",Держгеокадастр,1563,520,3.01
13,Державна азовська морська екологічна інспекція,ДАМЕІ,34,16,2.12
14,Державна служба України з безпеки на транспорті,Укртрансбезпека,119,58,2.05
15,Відділи праці органів місцевого самоврядування,ВП ОМС,333,176,1.89
16,Державна інспекція ядерного регулювання України,Держатомрегулювання,80,43,1.86
17,Національна комісія з цінних паперів та фондового ринку,НКЦПФР,20,13,1.54
18,"Міністерство розвитку економіки, торгівлі та сільського господарства України",Мінекономіки,9,6,1.5
20,"Національна комісія, що здійснює державне регулювання у сфері зв'язку та інформатизації",НКРЗІ,18,19,0.95
21,Одеська обласна державна адміністрація,Одеська ОДА,4,5,0.8
22,Державне агентство рибного господарства України,Держрибагенство,36,77,0.47
23,"Національна комісія, що здійснює державне регулювання у сфері ринків фінансових послуг",Нацкомфінпослуг,8,28,0.29
24,Міністерство охорони здоров'я України,МОЗ,1,4,0.25
25,"Національна комісія, що здійснює державне регулювання у сферах енергетики та комунальних послуг",НКРЕКП,1,20,0.05
